Date,State,CO conc (ppm),NO2 conc (ppb),O3 conc (ppm),Pb conc (ug/m3 SC),PM10 conc (ug/m3 SC),PM2.5 conc (ug/m3 LC),SO2 conc (ppb),Total Cases,Confirmed Cases,Sum New Cases
2020-01-22,CA,0.5379310344827586,27.727064220183486,0.03129310344827586,0.005013978494623656,18.65748031496063,9.687375415282393,0.6102941176470589,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-23,CA,0.7258823529411765,27.785714285714285,0.025748633879781418,0.01046,17.0,9.269798657718122,1.0485714285714287,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-24,CA,0.7451219512195122,27.568548387096776,0.02603783783783784,0.015,19.03125,10.95608108108108,1.1323529411764706,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-25,CA,0.6696629213483146,23.787121212121214,0.02857142857142857,0.0095,22.516666666666666,13.901485148514851,1.3236842105263158,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-26,CA,0.5646341463414634,18.7484126984127,0.03317837837837838,0.007,17.094736842105263,14.294557823129253,0.9028571428571429,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-27,CA,0.5329268292682927,25.835483870967742,0.03164835164835165,0.02,15.872340425531915,10.317006802721087,0.7727272727272727,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-28,CA,0.5798165137614679,32.11268115942029,0.032292096219931274,0.0067732748538011705,25.77848101265823,7.881994459833796,0.9,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-29,CA,0.5926829268292683,25.813492063492063,0.03202222222222222,0.0155,34.21739130434783,6.936111111111111,0.6975,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-30,CA,0.586046511627907,28.403174603174605,0.029417112299465243,0.013,19.377777777777776,7.689655172413793,1.069047619047619,4488757.606060606,4257247.1878787875,20472.559391421724
2020-01-31,CA,0.7220930232558139,30.872131147540983,0.03058288770053476,0.01495,22.464285714285715,9.069948186528498,1.3,4488757.606060606,4257247.1878787875,20472.559391421724
2020-02-01,CA,0.8223529411764706,27.115322580645163,0.033,0.016,20.48913043478261,11.921768707482993,1.2525,4488757.606060606,4257247.1878787875,20472.559391421724
2020-02-02,CA,0.7313253012048193,20.180833333333332,0.038461538461538464,0.025,54.766666666666666,8.59236111111111,1.0947368421052632,3.0,3.0,3.0
2020-02-03,CA,0.28200000000000003,18.0419689119171,0.038168582375478925,0.00717972972972973,29.359649122807017,4.044852941176471,0.3380281690140845,6.0,6.0,3.0
2020-02-04,CA,0.41624999999999995,24.623529411764704,0.0368622754491018,0.028,19.294736842105262,5.42027972027972,0.5700000000000001,6.0,6.0,3948.7239225850462
