"",country,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov
85,Austria,2020,18.0,11.268530,14.000000,100.0,97.141423,96.000000
86,Austria,2020,16.0,10.238412,14.000000,100.0,97.143053,96.000000
87,Austria,2021,18.0,11.688153,15.000000,96.0,97.135049,96.000000
88,Austria,2020,16.0,10.421143,21.000000,99.0,97.137935,96.000000
89,Austria,2020,16.0,10.459416,14.000000,98.0,97.139567,95.000000
90,Austria,2021,18.0,11.852577,16.000000,95.0,97.131384,93.000000
91,Austria,2020,18.0,11.000000,24.000000,99.0,99.000000,94.000000
92,Austria,2021,16.0,10.475304,8.000000,97.0,97.141798,96.000000
93,Austria,2020,18.0,12.000000,20.000000,99.0,98.000000,95.000000
94,Austria,2021,18.0,10.000000,16.000000,100.0,100.000000,95.000000
95,Austria,2020,16.0,12.000000,18.000000,99.0,99.000000,95.000000
96,Austria,2020,16.0,10.263072,15.946258,100.0,97.141963,95.869057
97,Austria,2020,18.0,11.545174,18.132077,98.0,97.135515,94.528312
98,Austria,2021,18.0,12.000000,30.000000,100.0,99.000000,95.000000
99,Austria,2021,18.0,11.280059,15.000000,100.0,97.140900,96.000000
100,Austria,2020,16.0,10.530337,29.000000,99.0,97.133197,95.00000
101,Austria,2020,18.0,11.326178,19.000000,100.0,97.138812,96.00000
102,Austria,2020,16.0,11.000000,13.000000,97.0,97.000000,94.00000
103,Austria,2020,16.0,10.209250,10.000000,100.0,97.144581,95.00000
104,Austria,2020,18.0,10.000000,17.000000,100.0,99.000000,95.00000
105,Austria,2021,18.0,11.000000,14.000000,100.0,100.000000,96.00000
106,Austria,2020,16.0,9.000000,13.000000,97.0,97.000000,94.00000
107,Austria,2021,18.0,11.257000,13.000000,100.0,97.141945,96.00000
108,Austria,2020,18.0,11.297017,15.000000,100.0,97.140340,95.00000
109,Austria,2020,18.0,11.620718,18.000000,97.0,97.134946,96.00000
110,Austria,2020,16.0,10.434416,31.000000,100.0,97.134176,96.00000
111,Austria,2020,17.0,11.000000,13.000000,94.0,80.000000,95.00000
112,Austria,2021,18.0,11.308546,16.000000,100.0,97.139818,95.00000
113,Austria,2021,18.0,13.000000,11.000000,95.0,91.000000,95.00000
114,Austria,2021,18.0,12.000000,24.000000,100.0,99.000000,95.00000
