"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/09/2021","AQS","480290060","1","22","ug/m3 SC","20","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/15/2021","AQS","480290060","1","26","ug/m3 SC","24","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/21/2021","AQS","480290060","1","32","ug/m3 SC","30","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/27/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/03/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/09/2021","AQS","480290060","1","9","ug/m3 SC","8","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/15/2021","AQS","480290060","1","26","ug/m3 SC","24","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/21/2021","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/27/2021","AQS","480290060","1","38","ug/m3 SC","35","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/02/2021","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/08/2021","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/14/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/20/2021","AQS","480290060","1","31","ug/m3 SC","29","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/26/2021","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/01/2021","AQS","480290060","1","33","ug/m3 SC","31","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/07/2021","AQS","480290060","1","38","ug/m3 SC","35","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/13/2021","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/19/2021","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/25/2021","AQS","480290060","1","22","ug/m3 SC","20","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/01/2021","AQS","480290060","1","12","ug/m3 SC","11","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/07/2021","AQS","480290060","1","27","ug/m3 SC","25","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/13/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/19/2021","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/25/2021","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/31/2021","AQS","480290060","1","31","ug/m3 SC","29","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/06/2021","AQS","480290060","1","28","ug/m3 SC","26","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/12/2021","AQS","480290060","1","25","ug/m3 SC","23","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/18/2021","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/24/2021","AQS","480290060","1","27","ug/m3 SC","25","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/30/2021","AQS","480290060","1","30","ug/m3 SC","28","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/06/2021","AQS","480290060","1","20","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/12/2021","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/18/2021","AQS","480290060","1","12","ug/m3 SC","11","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/24/2021","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/30/2021","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/04/2021","AQS","480291087","1","19","ug/m3 SC","18","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"01/10/2021","AQS","480291087","1","4","ug/m3 SC","4","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"01/16/2021","AQS","480291087","1","40","ug/m3 SC","37","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
