"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/24/2020","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"09/30/2020","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"10/06/2020","AQS","480850009","1","0.004","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"10/12/2020","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"10/18/2020","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"10/24/2020","AQS","480850009","1","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"10/30/2020","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"11/05/2020","AQS","480850009","1","0.003","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"11/11/2020","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"11/17/2020","AQS","480850009","1","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
