"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2022","AQS","480850009","1","0.016","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"01/11/2022","AQS","480850009","1","0.003","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"01/17/2022","AQS","480850009","1","0.005","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"01/23/2022","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"01/29/2022","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"02/04/2022","AQS","480850009","1","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"02/10/2022","AQS","480850009","1","0.003","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"02/16/2022","AQS","480850009","1","0.003","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"02/22/2022","AQS","480850009","1","0.005","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"02/28/2022","AQS","480850009","1","0.005","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"03/06/2022","AQS","480850009","1","0.002","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"03/12/2022","AQS","480850009","1","0.001","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
"03/18/2022","AQS","480850009","1","0.004","ug/m3 LC",".","Frisco Eubanks","1","100.0000","14129","Lead (TSP) LC","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","085","Collin","33.144662","-96.828809"
