"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/21/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/22/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/23/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/24/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/25/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/26/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/27/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/28/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","18","75.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/01/2022","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/02/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/03/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/04/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/05/2022","AQS","480291069","1","0.1","ppm","1","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/06/2022","AQS","480291069","1","0.1","ppm","1","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/07/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/08/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/09/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/10/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/11/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/12/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/13/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/14/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/15/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/16/2022","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/17/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/18/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/19/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/20/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/21/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/22/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/23/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/24/2022","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/25/2022","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/26/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/27/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/28/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/29/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
