"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/11/2022","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/17/2022","AQS","480290060","1","37","ug/m3 SC","34","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/23/2022","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/29/2022","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/04/2022","AQS","480290060","1","7","ug/m3 SC","6","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/10/2022","AQS","480290060","1","34","ug/m3 SC","31","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/16/2022","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/22/2022","AQS","480290060","1","32","ug/m3 SC","30","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/28/2022","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/06/2022","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/12/2022","AQS","480290060","1","14","ug/m3 SC","13","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/18/2022","AQS","480290060","1","57","ug/m3 SC","52","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/24/2022","AQS","480290060","1","35","ug/m3 SC","32","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/30/2022","AQS","480290060","1","36","ug/m3 SC","33","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/05/2022","AQS","480290060","1","39","ug/m3 SC","36","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/11/2022","AQS","480290060","1","39","ug/m3 SC","36","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/17/2022","AQS","480290060","1","28","ug/m3 SC","26","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/23/2022","AQS","480290060","1","27","ug/m3 SC","25","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/29/2022","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/05/2022","AQS","480290060","1","27","ug/m3 SC","25","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/11/2022","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/17/2022","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/23/2022","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/29/2022","AQS","480290060","1","28","ug/m3 SC","26","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/04/2022","AQS","480290060","1","17","ug/m3 SC","16","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/10/2022","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/16/2022","AQS","480290060","1","98","ug/m3 SC","72","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/22/2022","AQS","480290060","1","34","ug/m3 SC","31","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/28/2022","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/04/2022","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/10/2022","AQS","480290060","1","25","ug/m3 SC","23","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/16/2022","AQS","480290060","1","51","ug/m3 SC","47","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/22/2022","AQS","480290060","1","37","ug/m3 SC","34","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/28/2022","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/03/2022","AQS","480290060","1","34","ug/m3 SC","31","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/09/2022","AQS","480290060","1","15","ug/m3 SC","14","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/15/2022","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/21/2022","AQS","480290060","1","15","ug/m3 SC","14","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/27/2022","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/02/2022","AQS","480290060","1","12","ug/m3 SC","11","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/08/2022","AQS","480290060","1","30","ug/m3 SC","28","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/14/2022","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/20/2022","AQS","480290060","1","11","ug/m3 SC","10","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/26/2022","AQS","480290060","1","27","ug/m3 SC","25","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/02/2022","AQS","480290060","1","26","ug/m3 SC","24","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/08/2022","AQS","480290060","1","33","ug/m3 SC","31","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/14/2022","AQS","480290060","1","29","ug/m3 SC","27","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/20/2022","AQS","480290060","1","29","ug/m3 SC","27","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
