"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/03/2020","AQS","480290059","1","0.6","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/04/2020","AQS","480290059","1","0.9","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/05/2020","AQS","480290059","1","1.5","ppb","1","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/06/2020","AQS","480290059","1","0.6","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/07/2020","AQS","480290059","1","1.4","ppb","1","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/08/2020","AQS","480290059","1","1.5","ppb","1","Calaveras Lake","20","83.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/09/2020","AQS","480290059","1","0.2","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/10/2020","AQS","480290059","1","0.3","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/11/2020","AQS","480290059","1","0.1","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/12/2020","AQS","480290059","1","0.4","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/13/2020","AQS","480290059","1","0.4","ppb","0","Calaveras Lake","23","96.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/14/2020","AQS","480290059","1","0.2","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/15/2020","AQS","480290059","1","0.2","ppb","0","Calaveras Lake","22","92.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
