"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/08/2020","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/14/2020","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/20/2020","AQS","480290060","1","12","ug/m3 SC","11","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/26/2020","AQS","480290060","1","52","ug/m3 SC","48","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/02/2020","AQS","480290060","1","82","ug/m3 SC","64","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/08/2020","AQS","480290060","1","49","ug/m3 SC","45","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/14/2020","AQS","480290060","1","47","ug/m3 SC","44","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/20/2020","AQS","480290060","1","14","ug/m3 SC","13","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/26/2020","AQS","480290060","1","10","ug/m3 SC","9","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/01/2020","AQS","480290060","1","14","ug/m3 SC","13","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
